PRCSNAME,PRCSTYPE,OPRID,TSECONDS
PRCSYSPURGE,Application Engine,PSFINSERV,60.144633
PSXP_DIRCLN,Application Engine,PSFINSERV,15.035159
PRCSSRVCLN,Application Engine,PSFINSERV,15.499699
PSXPARCHATTR,Application Engine,PSFINSERV,15.449174
PSXP_DIRCLN,Application Engine,PSFINSERV,15.400005
VGLA0001,Application Engine,NVBATCH,90.2525
RPTBOOK,nVision-ReportBook,NVBATCH,281.643031
RPTBOOK,nVision-ReportBook,NVBATCH,962.415079
RPTBOOK,nVision-ReportBook,NVBATCH,810.513812
RPTBOOK,nVision-ReportBook,NVBATCH,449.953381
RPTBOOK,nVision-ReportBook,NVBATCH,314.14426
RPTBOOK,nVision-ReportBook,NVBATCH,13.38929
RPTBOOK,nVision-ReportBook,NVBATCH,179.483504
RPTBOOK,nVision-ReportBook,NVBATCH,164.377436
APY1090-,Crystal,PSFINBATCH,15.489934
APY1090-,Crystal,PSFINBATCH,12.362573
APY1090-,Crystal,PSFINBATCH,12.320242
APY1090-,Crystal,PSFINBATCH,12.523878
APY1090-,Crystal,PSFINBATCH,12.459648
VAPA0004,Application Engine,PSFINBATCH,14.427909
VAPA0003,Application Engine,PSFINBATCH,15.584615
GLS7010,SQR Report,PSFINBATCH,28.185557
AP_VCHRBLD,Application Engine,PSFINBATCH,15.009541
VAPA0005,Application Engine,PSFINBATCH,15.020303
GLS7010,SQR Report,PSFINBATCH,12.765352
GLS7010,SQR Report,PSFINBATCH,11.629953
GLS7010,SQR Report,PSFINBATCH,13.924885
GLS7010,SQR Report,PSFINBATCH,14.19782
GLS7010,SQR Report,PSFINBATCH,13.476672
GLS7010,SQR Report,PSFINBATCH,13.777347
GLS7010,SQR Report,PSFINBATCH,14.174122
GLS7010,SQR Report,PSFINBATCH,13.455853
GLS7010,SQR Report,PSFINBATCH,13.771654
GLS7010,SQR Report,PSFINBATCH,14.082529
GLS7010,SQR Report,PSFINBATCH,13.359868
GLS7010,SQR Report,PSFINBATCH,12.631292
GLS7010,SQR Report,PSFINBATCH,13.904668
GLS7010,SQR Report,PSFINBATCH,14.153627
GLS7010,SQR Report,PSFINBATCH,13.433811
GLS7010,SQR Report,PSFINBATCH,13.702213
GLS7010,SQR Report,PSFINBATCH,13.973448
GLS7010,SQR Report,PSFINBATCH,13.559569
GLS7010,SQR Report,PSFINBATCH,13.880656
GLS7010,SQR Report,PSFINBATCH,14.163184
GLS7010,SQR Report,PSFINBATCH,13.431631
GLS7010,SQR Report,PSFINBATCH,13.721302
VAPA0006,Application Engine,PSFINBATCH,46.130131
VFSA0001,Application Engine,PSFINBATCH,14.195744
DRILLDWN,nVision-Report,v.santos,25.288421
PO_RECVPUSH,Application Engine,s.cao,14.813445
PO_RECVPUSH,Application Engine,s.cao,15.014931
PORQ010,SQR Report,r.bell,12.558862
PO_RECVPUSH,Application Engine,r.bell,14.912681
VFSA0001,Application Engine,PSFINBATCH,15.025421
FS_STREAMLN,Application Engine,tr.johnson,29.962712
FS_STREAMLN,Application Engine,tr.johnson,15.011462
DRILLDWN,nVision-Report,b.grotegut,11.519264
DRILLDWN,nVision-Report,b.grotegut,13.879154
DRILLDWN,nVision-Report,b.grotegut,11.798617
DRILLDWN,nVision-Report,b.grotegut,24.738787
DRILLDWN,nVision-Report,b.grotegut,11.559873
PORQ010,SQR Report,r.bell,12.611269
PORQ010,SQR Report,r.bell,13.771255
DRILLDWN,nVision-Report,c.caezza,11.747229
DRILLDWN,nVision-Report,d.black,26.709802
PO_RECVPUSH,Application Engine,t.nowlin,14.993222
NVSRUN,nVision-Report,d.pacheco,29.022809
FS_ALLC,Application Engine,v.santos,32.453445
VFSA0001,Application Engine,PSFINBATCH,12.084088
NVSRUN,nVision-Report,a.davis,87.904287
NVSRUN,nVision-Report,a.davis,59.734272
NVSRUN,nVision-Report,b.grotegut,13.793464
NVSRUN,nVision-Report,b.grotegut,11.753057
FS_ALLC,Application Engine,v.santos,105.184918
DRILLDWN,nVision-Report,c.caezza,28.858588
DRILLDWN,nVision-Report,b.grotegut,10.856988
DRILLDWN,nVision-Report,b.grotegut,13.89359
NVSRUN,nVision-Report,d.robinson,11.631447
POPO005,SQR Process,t.nowlin,12.346547
PO_PO_EMAIL,Application Engine,t.nowlin,15.002275
PO_RECVPUSH,Application Engine,s.cao,15.023196
NVSRUN,nVision-Report,s.biersdorfer,10.992626
DRILLDWN,nVision-Report,c.caezza,12.771154
NVSRUN,nVision-Report,v.wester,11.543486
NVSRUN,nVision-Report,k.baker,28.911612
DRILLDWN,nVision-Report,k.baker,29.551627
PORQ010,SQR Report,r.bell,12.604197
DRILLDWN,nVision-Report,r.fitzgerald,11.823309
DRILLDWN,nVision-Report,r.fitzgerald,13.879817
NVSRUN,nVision-Report,v.wester,11.220831
VPTA0001,Application Engine,PSFINBATCH,14.325803
VFSA0001,Application Engine,PSFINBATCH,14.562471
VPOA0002,Application Engine,PSFINBATCH,15.016188
DRILLDWN,nVision-Report,s.biersdorfer,26.005576
PORQ010,SQR Report,r.bell,13.287178
NVSRUN,nVision-Report,v.wester,11.431545
PO_RECVPUSH,Application Engine,t.nowlin,14.4272
PV_AUTO_SRC,Application Engine,r.bell,45.077289
PO_RECVPUSH,Application Engine,r.bell,15.018413
AP_MATCH,Application Engine,r.bell,75.10831
PO_RECVPUSH,Application Engine,r.bell,15.010335
VFSA0001,Application Engine,PSFINBATCH,14.995126
NVSRUN,nVision-Report,d.pacheco,27.278416
DRILLDWN,nVision-Report,c.caezza,12.577334
NVSRUN,nVision-Report,k.baker,71.872079
POPO005,SQR Report,r.bell,12.411468
POPO005,SQR Process,r.bell,12.38524
PO_PO_EMAIL,Application Engine,r.bell,15.003037
NVSRUN,nVision-Report,n.tagawa,42.574054
NVSRUN,nVision-Report,n.tagawa,58.942788
NVSRUN,nVision-Report,k.baker,13.971021
DRILLDWN,nVision-Report,n.tagawa,71.9319
DRILLDWN,nVision-Report,n.tagawa,88.27688
PORQ010,SQR Report,t.nowlin,12.827696
NVSRUN,nVision-Report,l.bratton,11.840404
DRILLDWN,nVision-Report,l.bratton,14.017873
DRILLDWN,nVision-Report,l.bratton,13.838372
NVSRUN,nVision-Report,m.sutton,28.842594
DRILLDWN,nVision-Report,d.robinson,13.981623
DRILLDWN,nVision-Report,s.biersdorfer,11.610693
DRILLDWN,nVision-Report,k.baker,11.835044
DRILLDWN,nVision-Report,k.baker,14.013072
NVSRUN,nVision-Report,l.bratton,11.512395
DRILLDWN,nVision-Report,l.bratton,13.309394
DRILLDWN,nVision-Report,d.black,13.959178
NVSRUN,nVision-Report,l.bratton,11.719476
DRILLDWN,nVision-Report,l.bratton,13.953473
DRILLDWN,nVision-Report,m.sutton,13.923157
DRILLDWN,nVision-Report,s.biersdorfer,11.592929
VFSA0001,Application Engine,PSFINBATCH,14.998017
DRILLDWN,nVision-Report,k.baker,26.773956
DRILLDWN,nVision-Report,k.baker,11.767021
PO_RECVPUSH,Application Engine,a.amaro,29.771522
VFSA0001,Application Engine,PSFINBATCH,15.010817
PRCSYSPURGE,Application Engine,PSFINSERV,30.463693
PRCSSRVCLN,Application Engine,PSFINSERV,16.712849
PSXPARCHATTR,Application Engine,PSFINSERV,16.113532
PSXP_DIRCLN,Application Engine,PSFINSERV,16.113467
PSXP_DIRCLN,Application Engine,PSFINSERV,15.023375
VGLA0001,Application Engine,NVBATCH,75.270712
RPTBOOK,nVision-ReportBook,NVBATCH,266.659096
RPTBOOK,nVision-ReportBook,NVBATCH,1008.656281
RPTBOOK,nVision-ReportBook,NVBATCH,780.480598
RPTBOOK,nVision-ReportBook,NVBATCH,434.985611
RPTBOOK,nVision-ReportBook,NVBATCH,298.835914
RPTBOOK,nVision-ReportBook,NVBATCH,13.35791
RPTBOOK,nVision-ReportBook,NVBATCH,164.411931
RPTBOOK,nVision-ReportBook,NVBATCH,164.586328
VAPA0001,Application Engine,j.baer,14.91964
VAPS0001,SQR Report,j.baer,12.75927
ECIN0001,SQR Report,j.baer,13.823046
AP_VCHRBLD,Application Engine,j.baer,30.048726
APY1090-,Crystal,PSFINBATCH,19.891479
APY1090-,Crystal,PSFINBATCH,12.362135
APY1090-,Crystal,PSFINBATCH,12.412038
APY1090-,Crystal,PSFINBATCH,12.51743
APY1090-,Crystal,PSFINBATCH,12.454143
VFSA0001,Application Engine,PSFINBATCH,15.131344
DRILLDWN,nVision-Report,c.caezza,12.630009
PV_AUTO_SRC,Application Engine,r.bell,45.328804
PV_AUTO_SRC,Application Engine,r.bell,45.058306
PV_AUTO_SRC,Application Engine,r.bell,45.069334
NVSRUN,nVision-Report,c.caezza,12.824274
DRILLDWN,nVision-Report,m.sutton,27.936216
POPO005,SQR Report,r.bell,12.82631
VFSA0001,Application Engine,PSFINBATCH,14.952336
POPO005,SQR Report,r.bell,13.286379
NVSRUN,nVision-Report,v.wester,13.08669
NVSRUN,nVision-Report,v.wester,12.594457
POPO005,SQR Report,r.bell,12.71268
POPO005,SQR Process,r.bell,13.627256
PO_PO_EMAIL,Application Engine,r.bell,15.015548
POPO005,SQR Process,r.bell,13.105246
NVSRUN,nVision-Report,v.wester,19.955941
PO_PO_EMAIL,Application Engine,r.bell,15.106363
POPO005,SQR Process,r.bell,13.828191
PO_PO_EMAIL,Application Engine,r.bell,15.013518
NVSRUN,nVision-Report,v.wester,24.915484
NVSRUN,nVision-Report,v.wester,12.457902
PV_AUTO_SRC,Application Engine,r.bell,44.165344
POPO005,SQR Report,r.bell,8.089976
POPO005,SQR Process,r.bell,12.853056
PO_PO_EMAIL,Application Engine,r.bell,15.006767
NVSRUN,nVision-Report,b.grotegut,24.065377
PO_RECVPUSH,Application Engine,g.murdock,14.993816
PO_RECVPUSH,Application Engine,t.nowlin,14.995534
DRILLDWN,nVision-Report,d.black,11.454696
DRILLDWN,nVision-Report,m.sutton,13.935308
PORQ010,SQR Report,t.nowlin,12.971399
FS_STREAMLN,Application Engine,tr.johnson,90.114192
DRILLDWN,nVision-Report,m.sutton,11.787566
DRILLDWN,nVision-Report,v.wester,11.644755
PV_AUTO_SRC,Application Engine,t.nowlin,45.055364
NVSRUN,nVision-Report,m.elbeck,23.493869
FS_STREAMLN,Application Engine,l.cator,14.994538
GL_JEDIT_0,Application Engine,j.walt,14.995242
GL_JP,Application Engine,j.walt,15.064344
VFSA0001,Application Engine,PSFINBATCH,15.009634
NVSRUN,nVision-Report,j.sadusky,69.83348
DRILLDWN,nVision-Report,b.grotegut,27.417182
DRILLDWN,nVision-Report,d.black,13.794156
POPO005,SQR Report,t.nowlin,11.056135
DRILLDWN,nVision-Report,m.sutton,14.010861
DRILLDWN,nVision-Report,d.black,11.690869
DRILLDWN,nVision-Report,d.black,14.022117
NVSRUN,nVision-Report,b.grotegut,20.421281
GL_JEDIT_0,Application Engine,j.walt,15.001134
POPO005,SQR Report,t.nowlin,9.647102
GL_JP,Application Engine,j.walt,15.019879
DRILLDWN,nVision-Report,d.black,11.709399
DRILLDWN,nVision-Report,b.grotegut,13.955142
POPO005,SQR Report,t.nowlin,10.910356
PORT001,SQR Process,r.bell,13.215576
PO_RTVRECON,Application Engine,r.bell,15.007217
PORT001,SQR Report,r.bell,11.48472
POPO005,SQR Process,t.nowlin,12.685763
PO_PO_EMAIL,Application Engine,t.nowlin,14.962257
DRILLDWN,nVision-Report,d.black,11.815879
NVSRUN,nVision-Report,d.black,11.66388
NVSRUN,nVision-Report,m.elbeck,115.340155
DRILLDWN,nVision-Report,d.black,13.269587
GL_JEDIT_0,Application Engine,l.bratton,14.992896
NVSRUN,nVision-Report,j.sadusky,69.666035
DRILLDWN,nVision-Report,d.black,13.9646
GL_JEDIT_0,Application Engine,l.bratton,15.014625
DRILLDWN,nVision-Report,d.black,26.152129
GL_JEDIT_0,Application Engine,l.bratton,15.427846
DRILLDWN,nVision-Report,d.black,26.71651
GL_JEDIT_0,Application Engine,l.bratton,15.007663
VAPS0002,SQR Report,b.stephens,11.247856
ECIN0001,SQR Report,b.stephens,13.417241
NVSRUN,nVision-Report,d.black,11.643315
DRILLDWN,nVision-Report,d.black,14.073038
AP_VCHRBLD,Application Engine,b.stephens,45.066398
GL_JEDIT_0,Application Engine,l.bratton,15.01227
GL_JP,Application Engine,l.bratton,15.476228
NVSRUN,nVision-Report,l.bratton,52.864616
PO_RECVPUSH,Application Engine,s.cao,15.022678
DRILLDWN,nVision-Report,b.grotegut,11.42986
FS_STREAMLN,Application Engine,tr.johnson,14.997755
VPTA0001,Application Engine,PSFINBATCH,14.997992
VFSA0001,Application Engine,PSFINBATCH,14.670648
VPOA0002,Application Engine,PSFINBATCH,15.028456
NVSRUN,nVision-Report,l.bratton,9.075151
DRILLDWN,nVision-Report,b.grotegut,11.450934
DRILLDWN,nVision-Report,c.caezza,26.439573
PO_RECVPUSH,Application Engine,t.nowlin,15.009569
PORQ010,SQR Report,t.nowlin,11.919992
NVSRUN,nVision-Report,c.stern,23.702173
AP_MATCH,Application Engine,l.cator,75.085891
VCHR_APRV_AF,Application Engine,l.cator,45.170641
DRILLDWN,nVision-Report,d.black,11.566473
NVSRUN,nVision-Report,d.black,74.425195
NVSRUN,nVision-Report,d.black,54.32738
DRILLDWN,nVision-Report,d.black,13.883542
PORQ010,SQR Report,t.nowlin,12.496685
DRILLDWN,nVision-Report,d.black,12.10199
PORQ010,SQR Report,r.bell,13.451406
DRILLDWN,nVision-Report,d.black,11.439992
VFSA0001,Application Engine,PSFINBATCH,15.04212
DRILLDWN,nVision-Report,d.black,26.686809
PV_AUTO_SRC,Application Engine,r.bell,45.040317
POPO005,SQR Report,r.bell,10.819268
POPO005,SQR Process,r.bell,12.257584
PO_PO_EMAIL,Application Engine,r.bell,15.115596
POPO005,SQR Report,t.nowlin,10.970658
POPO005,SQR Report,t.nowlin,11.02876
FS_STREAMLN,Application Engine,tr.johnson,15.015992
FS_STREAMLN,Application Engine,tr.johnson,15.008762
FS_STREAMLN,Application Engine,tr.johnson,15.01297
FS_STREAMLN,Application Engine,tr.johnson,15.021334
FS_STREAMLN,Application Engine,tr.johnson,15.01088
FS_STREAMLN,Application Engine,tr.johnson,15.009641
PO_POREOPEN,Application Engine,r.bell,15.013235
POPO005,SQR Process,t.nowlin,12.565857
PO_PO_EMAIL,Application Engine,t.nowlin,15.003336
NVSRUN,nVision-Report,m.sutton,69.558457
DRILLDWN,nVision-Report,m.sutton,56.307669
FS_STREAMLN,Application Engine,tr.johnson,15.03442
POPO005,SQR Report,r.bell,11.200728
FS_STREAMLN,Application Engine,tr.johnson,15.012045
FS_STREAMLN,Application Engine,tr.johnson,15.025404
FS_STREAMLN,Application Engine,tr.johnson,15.011519
FS_STREAMLN,Application Engine,tr.johnson,15.007652
POPO005,SQR Process,r.bell,12.317755
PO_PO_EMAIL,Application Engine,r.bell,15.0185
PORQ010,SQR Report,t.nowlin,14.022844
NVSRUN,nVision-Report,d.black,11.81397
DRILLDWN,nVision-Report,d.black,13.957351
POPO005,SQR Report,r.bell,10.697187
POPO005,SQR Process,r.bell,12.210242
PO_PO_EMAIL,Application Engine,r.bell,15.006187
NVSRUN,nVision-Report,m.elbeck,23.70252
NVSRUN,nVision-Report,m.elbeck,23.849879
NVSRUN,nVision-Report,j.sadusky,28.796632
DRILLDWN,nVision-Report,m.sutton,26.499831
DRILLDWN,nVision-Report,j.sadusky,13.895632
VFSA0001,Application Engine,PSFINBATCH,15.017377
PO_RECVPUSH,Application Engine,r.johnson,14.997966
PO_RECVPUSH,Application Engine,r.johnson,15.007055
PO_RECVPUSH,Application Engine,r.johnson,15.240347
PO_RECVPUSH,Application Engine,r.johnson,15.010627
PO_RECVPUSH,Application Engine,r.johnson,15.013137
PO_RECVPUSH,Application Engine,r.johnson,15.011481
DRILLDWN,nVision-Report,k.bott,11.896493
V_BILLTR,SQR Report,b.stephens,11.580531
ECIN0001,SQR Report,b.stephens,13.71169
AP_VCHRBLD,Application Engine,b.stephens,45.008958
VFSA0001,Application Engine,PSFINBATCH,15.033179
PRCSYSPURGE,Application Engine,PSFINSERV,44.69586
PSXP_DIRCLN,Application Engine,PSFINSERV,15.007888
PRCSSRVCLN,Application Engine,PSFINSERV,18.237223
PSXPARCHATTR,Application Engine,PSFINSERV,14.134683
PSXP_DIRCLN,Application Engine,PSFINSERV,12.872259
